











1. python create_dataset_files.py

2. python main.py --data ./data/ISKG/ --epochs_gat 100 --epochs_conv 100 --weight_decay_gat 0.00001 --get_2hop True --partial_2hop True --batch_size_gat 1024 --margin 1 --out_channels 50 --drop_conv 0.3 --output_folder ./checkpoints/fb/out/







运行日志:

===============================================================================================

number of unique_entities -> 44039
number of unique_entities -> 4403
number of unique_entities -> 4439
Initialised relations and entities from TransE
Graph created
length of graph keys is  25837
time taken  2.133985757827759
length of neighbors dict is  14607
Total triples count 109992, training triples 101862, validation_triples 4065, test_triples 4065
Opening node_neighbors pickle object
Initial entity dimensions torch.Size([44039, 100]) , relation dimensions torch.Size([20, 100])
Defining model

Model type -> GAT layer with 2 heads used , Initital Embeddings training
length of unique_entities  44039
Number of epochs 100

epoch->  0
Iteration-> 0  , Iteration_time-> 0.6682 , Iteration_loss 1.0939
Iteration-> 1  , Iteration_time-> 0.2297 , Iteration_loss 0.8092
Iteration-> 2  , Iteration_time-> 0.2281 , Iteration_loss 0.7121
Iteration-> 3  , Iteration_time-> 0.2246 , Iteration_loss 0.6345
Iteration-> 4  , Iteration_time-> 0.2241 , Iteration_loss 0.6213
Iteration-> 5  , Iteration_time-> 0.2243 , Iteration_loss 0.5900
Iteration-> 6  , Iteration_time-> 0.2252 , Iteration_loss 0.5877
Iteration-> 7  , Iteration_time-> 0.2286 , Iteration_loss 0.5862
Iteration-> 8  , Iteration_time-> 0.2272 , Iteration_loss 0.5795
Iteration-> 9  , Iteration_time-> 0.2248 , Iteration_loss 0.5865
Iteration-> 10  , Iteration_time-> 0.2260 , Iteration_loss 0.5690
Iteration-> 11  , Iteration_time-> 0.2259 , Iteration_loss 0.5299
Iteration-> 12  , Iteration_time-> 0.2262 , Iteration_loss 0.5010
Iteration-> 13  , Iteration_time-> 0.2252 , Iteration_loss 0.5225
Iteration-> 14  , Iteration_time-> 0.2258 , Iteration_loss 0.5276
Iteration-> 15  , Iteration_time-> 0.2262 , Iteration_loss 0.5229
Iteration-> 16  , Iteration_time-> 0.2308 , Iteration_loss 0.5092
Iteration-> 17  , Iteration_time-> 0.2266 , Iteration_loss 0.5054
Iteration-> 18  , Iteration_time-> 0.2258 , Iteration_loss 0.5280
Iteration-> 19  , Iteration_time-> 0.2310 , Iteration_loss 0.4840
Iteration-> 20  , Iteration_time-> 0.2250 , Iteration_loss 0.4902
Iteration-> 21  , Iteration_time-> 0.2263 , Iteration_loss 0.4762
Iteration-> 22  , Iteration_time-> 0.2268 , Iteration_loss 0.4845
Iteration-> 23  , Iteration_time-> 0.2267 , Iteration_loss 0.4721
Iteration-> 24  , Iteration_time-> 0.2257 , Iteration_loss 0.4831
Iteration-> 25  , Iteration_time-> 0.2261 , Iteration_loss 0.4743
Iteration-> 26  , Iteration_time-> 0.2274 , Iteration_loss 0.4898
Iteration-> 27  , Iteration_time-> 0.2250 , Iteration_loss 0.4684
Iteration-> 28  , Iteration_time-> 0.2252 , Iteration_loss 0.5046
Iteration-> 29  , Iteration_time-> 0.2282 , Iteration_loss 0.4824
Iteration-> 30  , Iteration_time-> 0.2266 , Iteration_loss 0.4766
Iteration-> 31  , Iteration_time-> 0.2292 , Iteration_loss 0.4447
Iteration-> 32  , Iteration_time-> 0.2286 , Iteration_loss 0.4591
Iteration-> 33  , Iteration_time-> 0.2261 , Iteration_loss 0.4801
